Lon (deg),Lat (deg),Alt (m),Timestamp (ms UTC Unix),Time,Position Source,SEE_label
-39.08975635,-26.02083808,604516.4494,1526606700103,2018-05-18 1:25:00,onboard,0
39.72884091,-78.78627329,614840.1196,1526578600303,2018-05-17 17:36:40,onboard,0
-52.84824947,-18.12029077,593743.3657,1526568293027,2018-05-17 14:44:53,onboard,0
-65.82648747,-44.50205852,608133.4725,1526525815903,2018-05-17 2:56:55,onboard,0
-65.82630482,-44.50151004,608132.5325,1526525815894,2018-05-17 2:56:55,onboard,0
-61.76401623,-30.09001653,605187.6263,1526525580523,2018-05-17 2:53:00,onboard,0
-61.5583389,-29.25000488,603891.8273,1526525566859,2018-05-17 2:52:46,onboard,0
-61.48647457,-28.95311148,603807.7373,1526525562032,2018-05-17 2:52:42,onboard,0
-61.25000989,-27.96382627,604935.2652,1526525545952,2018-05-17 2:52:25,onboard,0
-60.32211079,-23.9671894,604868.4701,1526525481028,2018-05-17 2:51:21,onboard,0
-38.70693474,-34.43730929,606213.8978,1526519852427,2018-05-17 1:17:32,onboard,0
-36.26088116,-24.44270192,591543.9674,1526519689816,2018-05-17 1:14:49,onboard,0
-36.21575347,-24.24465314,591433.594,1526519686605,2018-05-17 1:14:46,onboard,0
155.9618123,77.50489895,612742.3644,1526483210728,2018-05-16 15:06:50,onboard,0
-51.34279508,-13.61631173,578844.4666,1526481381226,2018-05-16 14:36:21,onboard,0
-161.3977235,80.79033202,614590.5684,1526477335498,2018-05-16 13:28:55,onboard,0
-73.16446181,77.79639864,612781.1038,1526477094298,2018-05-16 13:24:54,onboard,0
-24.50225069,-25.87044099,593203.2679,1526475384190,2018-05-16 12:56:24,onboard,0
-60.45698265,-34.61766191,605985.1133,1526438669530,2018-05-16 2:44:29,onboard,0
-59.24326605,-29.84171993,604910.7835,1526438591743,2018-05-16 2:43:11,onboard,0
-58.96375292,-28.71891374,592933.6348,1526438573452,2018-05-16 2:42:53,onboard,0
-35.42956839,-31.25301912,604987.2437,1526432815807,2018-05-16 1:06:55,onboard,0
-35.36789709,-31.00601325,604875.8437,1526432811787,2018-05-16 1:06:51,onboard,0
-35.30654237,-30.75896634,604899.6862,1526432807767,2018-05-16 1:06:47,onboard,0
-104.5616688,-63.26654031,607804.6759,1526410981378,2018-05-15 19:03:01,onboard,0
-100.0042632,68.40385448,596095.6642,1526401534378,2018-05-15 16:25:34,onboard,0
-71.10273953,-22.65822727,592141.7464,1526400049390,2018-05-15 16:00:49,onboard,0
-47.02286983,-22.27859325,592372.9501,1526394256570,2018-05-15 14:24:16,onboard,0
-46.19128077,-25.94141738,593367.8164,1526394197279,2018-05-15 14:23:17,onboard,0
-137.5240442,41.47111509,606617.8591,1526373646030,2018-05-15 8:40:46,onboard,0
-64.30958303,43.76117602,607404.8893,1526356211290,2018-05-15 3:50:11,onboard,0
-63.33493618,46.63818729,609576.1624,1526356164055,2018-05-15 3:49:24,onboard,0
132.4984463,-55.70344262,604750.6677,1526353117900,2018-05-15 2:58:37,onboard,0
-56.56799775,-28.98409198,593525.0997,1526351592918,2018-05-15 2:33:12,onboard,0
-54.24349143,-18.72121625,603605.895,1526351426284,2018-05-15 2:30:26,onboard,0
-43.65227032,-26.27867648,595249.2705,1526307207088,2018-05-14 14:13:27,onboard,0
-21.73703909,-16.09532012,589981.8585,1526301572857,2018-05-14 12:39:32,onboard,0
-143.6128519,79.14730552,612390.1495,1526297607730,2018-05-14 11:33:27,onboard,0
-74.9203783,82.43663031,612337.0767,1526291686874,2018-05-14 9:54:46,onboard,0
-74.93888205,-13.96043932,603909.9504,1526270163196,2018-05-14 3:56:03,onboard,0
-68.11551588,-13.66439282,589469.3138,1526226225193,2018-05-13 15:43:45,onboard,0
